frame,person_id,x,y,zone
0,1,136,153,shop 1
0,2,340,375,Unknown
0,3,319,342,Unknown
0,4,600,264,Unknown
0,5,409,401,Unknown
0,6,422,326,Unknown
1,2,340,378,Unknown
2,2,339,375,Unknown
3,2,338,377,Unknown
3,5,409,401,Unknown
4,5,410,401,Unknown
5,5,409,401,Unknown
5,22,340,380,Unknown
5,23,494,250,Unknown
6,5,409,400,Unknown
6,23,494,250,Unknown
7,23,494,249,Unknown
8,41,353,364,Unknown
8,5,410,401,Unknown
9,41,350,360,Unknown
9,5,410,400,Unknown
9,1,138,153,shop 1
9,23,494,250,Unknown
10,5,409,401,Unknown
10,23,494,250,Unknown
12,83,357,362,Unknown
12,4,604,265,Unknown
12,5,409,401,Unknown
13,95,647,156,shop 2
13,22,341,374,Unknown
14,100,115,302,Unknown
14,22,341,369,Unknown
14,2,328,375,Unknown
14,83,358,361,Unknown
15,4,604,265,Unknown
16,4,602,264,Unknown
16,95,645,155,shop 2
17,4,602,264,Unknown
18,135,219,239,Unknown
19,135,219,239,Unknown
19,5,409,400,Unknown
19,4,601,263,Unknown
20,5,409,401,Unknown
20,95,643,156,shop 2
21,5,409,400,Unknown
22,5,409,399,Unknown
22,135,217,239,Unknown
23,5,409,400,Unknown
23,135,217,238,Unknown
24,135,217,238,Unknown
25,190,553,236,Unknown
25,95,642,156,shop 2
25,5,409,400,Unknown
26,190,553,236,Unknown
26,5,410,400,Unknown
26,135,217,238,Unknown
27,190,553,236,Unknown
27,205,541,236,Unknown
27,135,217,238,Unknown
27,3,317,342,Unknown
27,4,601,263,Unknown
28,205,541,237,Unknown
28,5,409,398,Unknown
29,5,409,397,Unknown
30,5,409,399,Unknown
31,5,410,399,Unknown
31,135,217,238,Unknown
32,5,409,399,Unknown
32,135,216,247,Unknown
32,4,600,263,Unknown
33,5,410,399,Unknown
33,4,601,263,Unknown
34,5,409,400,Unknown
34,246,217,238,Unknown
35,5,409,400,Unknown
35,246,217,238,Unknown
36,5,409,400,Unknown
36,246,216,238,Unknown
36,83,365,353,Unknown
37,5,409,400,Unknown
37,83,362,351,Unknown
38,5,409,400,Unknown
38,246,216,238,Unknown
39,5,409,400,Unknown
39,246,216,239,Unknown
40,5,409,400,Unknown
40,280,677,155,shop 2
41,5,409,400,Unknown
41,280,683,154,shop 2
41,190,553,237,Unknown
41,246,216,238,Unknown
42,5,409,400,Unknown
42,280,691,155,shop 2
42,190,553,237,Unknown
42,246,215,239,Unknown
43,5,409,400,Unknown
43,190,553,237,Unknown
43,246,215,239,Unknown
43,301,440,402,Unknown
43,302,279,385,Unknown
43,2,305,365,Unknown
44,5,408,398,Unknown
44,190,553,237,Unknown
44,301,439,402,Unknown
44,302,278,385,Unknown
44,135,217,261,Unknown
45,5,409,399,Unknown
45,190,552,237,Unknown
45,302,278,385,Unknown
45,246,216,239,Unknown
46,5,409,399,Unknown
46,302,278,385,Unknown
46,246,216,239,Unknown
47,5,409,395,Unknown
47,302,278,385,Unknown
47,246,216,239,Unknown
48,5,409,399,Unknown
48,302,279,386,Unknown
48,246,216,239,Unknown
49,5,409,397,Unknown
49,302,278,386,Unknown
49,246,216,238,Unknown
50,5,409,397,Unknown
50,302,278,386,Unknown
50,246,216,238,Unknown
50,4,601,263,Unknown
51,302,278,387,Unknown
51,246,216,239,Unknown
52,246,215,240,Unknown
53,5,408,396,Unknown
54,5,408,396,Unknown
55,301,441,409,Unknown
56,302,278,386,Unknown
57,5,408,400,Unknown
59,4,603,265,Unknown
59,302,278,386,Unknown
60,302,278,386,Unknown
60,5,410,401,Unknown
61,302,278,385,Unknown
61,418,487,405,Unknown
61,5,409,401,Unknown
62,302,278,386,Unknown
62,5,409,401,Unknown
62,4,603,265,Unknown
63,302,278,386,Unknown
63,4,602,264,Unknown
64,5,410,401,Unknown
65,5,410,400,Unknown
66,5,410,400,Unknown
67,5,410,400,Unknown
67,302,278,386,Unknown
68,5,410,401,Unknown
68,302,278,386,Unknown
69,5,410,400,Unknown
69,302,278,386,Unknown
70,5,410,400,Unknown
70,302,278,386,Unknown
70,135,214,288,Unknown
71,5,409,401,Unknown
72,5,409,400,Unknown
73,486,267,257,Unknown
74,486,267,257,Unknown
74,302,278,385,Unknown
75,486,267,257,Unknown
75,302,278,386,Unknown
76,486,267,256,Unknown
76,520,107,303,Unknown
76,5,409,401,Unknown
78,486,267,257,Unknown
78,520,101,317,Unknown
79,486,267,255,Unknown
79,520,102,323,Unknown
80,486,267,254,Unknown
80,520,104,328,Unknown
81,486,267,256,Unknown
81,520,99,339,Unknown
81,302,278,385,Unknown
83,590,56,372,Unknown
83,520,97,337,Unknown
84,5,410,400,Unknown
85,630,514,399,Unknown
85,5,410,399,Unknown
86,630,514,399,Unknown
86,5,409,400,Unknown
86,635,484,386,Unknown
86,302,277,384,Unknown
87,630,514,398,Unknown
87,5,409,400,Unknown
87,590,55,378,Unknown
88,5,409,400,Unknown
88,302,277,384,Unknown
89,5,409,401,Unknown
89,302,277,384,Unknown
89,630,514,398,Unknown
90,5,409,401,Unknown
90,302,277,384,Unknown
91,5,410,401,Unknown
91,302,277,384,Unknown
91,630,514,398,Unknown
92,5,409,400,Unknown
92,302,277,384,Unknown
92,719,204,269,Unknown
93,5,410,400,Unknown
94,5,409,400,Unknown
94,747,443,382,Unknown
95,5,409,400,Unknown
95,747,443,382,Unknown
95,750,702,157,shop 2
96,5,409,400,Unknown
96,747,442,383,Unknown
96,764,302,343,Unknown
97,5,409,400,Unknown
97,747,442,383,Unknown
97,719,203,257,Unknown
98,5,409,400,Unknown
98,747,442,384,Unknown
98,764,302,345,Unknown
99,5,409,400,Unknown
99,630,514,400,Unknown
99,750,699,154,shop 2
100,5,409,400,Unknown
100,791,663,155,shop 2
100,795,432,397,Unknown
100,630,514,400,Unknown
101,5,409,400,Unknown
101,630,514,400,Unknown
101,799,676,155,shop 2
101,802,636,303,Unknown
102,5,409,401,Unknown
102,630,514,400,Unknown
102,750,690,152,shop 2
103,5,410,400,Unknown
103,630,514,400,Unknown
104,5,409,400,Unknown
104,630,514,401,Unknown
104,817,706,152,shop 2
105,5,410,400,Unknown
105,817,708,152,shop 2
106,5,410,400,Unknown
106,817,708,152,shop 2
106,831,213,260,Unknown
107,5,409,400,Unknown
107,817,709,152,shop 2
108,5,409,399,Unknown
108,817,717,151,shop 2
109,5,410,399,Unknown
109,864,552,270,Unknown
110,5,410,399,Unknown
111,5,410,400,Unknown
112,5,410,400,Unknown
112,892,298,353,Unknown
113,5,410,400,Unknown
113,802,628,299,Unknown
113,831,213,266,Unknown
114,5,409,400,Unknown
114,892,298,362,Unknown
115,5,409,400,Unknown
115,892,296,367,Unknown
116,5,409,399,Unknown
116,892,296,368,Unknown
116,933,646,156,shop 2
116,939,661,328,Unknown
116,945,578,320,Unknown
116,302,277,384,Unknown
116,791,667,160,shop 2
117,892,295,368,Unknown
117,945,579,322,Unknown
117,963,128,307,Unknown
117,791,670,160,shop 2
117,817,738,155,Unknown
118,892,296,371,Unknown
118,5,409,399,Unknown
118,939,656,339,Unknown
118,302,277,384,Unknown
119,5,409,399,Unknown
119,302,277,384,Unknown
120,5,409,399,Unknown
120,945,579,319,Unknown
120,963,128,307,Unknown
121,963,129,307,Unknown
121,831,215,273,Unknown
121,933,652,155,shop 2
121,791,669,159,shop 2
122,1012,296,367,Unknown
122,1015,482,406,Unknown
122,791,671,157,shop 2
122,5,409,399,Unknown
123,1012,296,367,Unknown
123,1015,480,406,Unknown
123,5,409,399,Unknown
123,630,514,400,Unknown
123,302,278,383,Unknown
123,933,655,156,shop 2
124,1012,296,367,Unknown
124,1015,480,406,Unknown
124,5,409,399,Unknown
124,630,514,400,Unknown
124,302,278,383,Unknown
124,799,680,157,shop 2
124,963,128,307,Unknown
125,1012,296,366,Unknown
125,1015,478,407,Unknown
125,5,409,400,Unknown
125,1041,76,152,shop 1
126,1015,475,403,Unknown
126,5,410,400,Unknown
126,1041,82,153,shop 1
126,630,514,400,Unknown
126,302,278,383,Unknown
127,5,410,400,Unknown
127,1041,84,154,shop 1
127,302,278,383,Unknown
128,5,409,400,Unknown
128,1041,84,154,shop 1
128,802,619,302,Unknown
128,1015,472,390,Unknown
129,5,409,400,Unknown
129,802,621,304,Unknown
129,1015,469,387,Unknown
129,791,670,156,shop 2
129,1012,296,367,Unknown
129,302,278,383,Unknown
130,5,409,400,Unknown
130,1012,296,367,Unknown
130,1041,85,154,shop 1
131,5,410,400,Unknown
131,1012,296,367,Unknown
131,1106,716,154,shop 2
131,1041,84,154,shop 1
